,GENEABREV,ENTRY,ENTRY NAME,PROTEIN,GENE,ORGANISM,STATUS,GO - BIOLOGICAL PROCESS,MOLECULAR FUNCION,BIOLOGICAL PROCESS,LIGARD
0,TRNAG-UCC,na,na,na,na,na,na,na,na,na,na
1,ROBO1,A6QNM7,UBP33_BOVIN,Ubiquitin carboxyl-terminal hydrolase 33,USP33,Bos taurus (Bovine),Reviewed,axon guidance. cell migration. cellular response to starvation. centrosome duplication. endocytosis. negative regulation of protein binding. positive regulation of protein binding. protein deubiquitination. protein K48-linked deubiquitination. protein K63-linked deubiquitination. protein stabilization. regulation of autophagy. regulation of G protein-coupled receptor signaling pathway. ubiquitin-dependent protein catabolic process,Hydrolase. Protease. Thiol protease,Endocytosis. Ubl conjugation pathway,Metal-binding. Zinc
2,TRNAC-GCA,na,na,na,na,na,na,na,na,na,na
3,TRNAC-ACA,na,na,na,na,na,na,na,na,na,na
4,MIR2286,na,na,na,na,na,na,na,na,na,na
5,LOC101910021,na,na,na,na,na,na,na,na,na,na
6,LOC112447295,na,na,na,na,na,na,na,na,na,na
7,CD47,A0A4W2F3U1,A0A4W2F3U1_BOBOX,Integrin-associated protein,CD47,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,ATP export. cellular response to interleukin-12. inflammatory response. monocyte aggregation. opsonization. positive regulation of cell population proliferation. positive regulation of inflammatory response. positive regulation of phagocytosis. positive regulation of T cell activation. regulation of interferon-gamma production. regulation of interleukin-10 production. regulation of interleukin-12 production. regulation of interleukin-6 production. regulation of nitric oxide biosynthetic process. regulation of tumor necrosis factor production. response to bacterium,na,Cell adhesion,na
8,IFT57,Q5EA95,IFT57_BOVIN,Intraflagellar transport protein 57 homolog,IFT57,Bos taurus (Bovine),Reviewed,activation of cysteine-type endopeptidase activity involved in apoptotic process. apoptotic process. intraciliary transport. non-motile cilium assembly. regulation of apoptotic process,DNA-binding,Apoptosis. Transcription. Transcription regulation,na
9,HHLA2,E1BCC8,E1BCC8_BOVIN,HERV-H LTR-associating 2,HHLA2,Bos taurus (Bovine),Unreviewed,positive regulation of activated T cell proliferation. positive regulation of cytokine production. regulation of cytokine production. T cell costimulation. T cell receptor signaling pathway,na,na,na
